observationTime,rf_prediction,actual,ECMWF,xgb_predicted,ensemble_rf_pred
2025-04-15,0.0309999999999999,4.0,0.072603226,0.31748956,
2025-04-16,4.089,2.3,6.8429523,2.4031231,
2025-04-17,0.0,0.0,0.0,0.6017237,
2025-04-18,0.6010000000000002,0.0,0.0,0.26657286,
2025-04-19,0.664,0.3,1.0032921,1.971703,
2025-04-20,0.3599999999999999,0.0,0.19074059,0.23452169,
2025-04-21,0.06,0.0,0.025438428,0.1981623,
2025-04-22,4.054,0.0,5.7292805,2.509606,
2025-04-23,0.025,0.0,0.0058487654,2.32628,
2025-04-24,0.936,0.0,1.7762918,0.9244776,
2025-04-25,0.032,0.0,0.17859173,0.07526045,
2025-04-26,0.027,0.0,0.011697054,0.07769075,
2025-04-27,0.01,0.0,0.0,0.024296861,
2025-04-28,0.0,0.0,0.0,0.10342408,
2025-04-29,0.855,0.0,1.1420493,0.5775305,
2025-04-30,0.068,0.0,0.042793274,0.0834506,
2025-05-01,0.115,0.0,0.18887281,0.075016625,
2025-05-02,1.168522898450402,0.0,2.9290936,1.0802648,
2025-05-03,0.015,0.0,0.0,0.03451983,
2025-05-04,8.772,9.0,8.9623785,6.9056587,
2025-05-05,0.498,0.9,0.6608763,0.6855426,
2025-05-06,0.006,0.0,0.003561914,0.12376896,
2025-05-07,0.114,0.1,0.37265173,0.3998513,
2025-05-08,0.2629999999999999,0.0,0.6326128,0.44260824,
2025-05-09,0.036,0.0,5.9604645e-08,0.042291313,
2025-05-10,1.4879999999999995,0.0,1.9972029,1.0084834,
2025-05-11,0.7400000000000003,0.0,1.5031238,0.76968133,
2025-05-12,0.0829999999999999,0.0,0.42102075,0.19843167,
2025-05-13,0.034,0.0,0.08198929,0.0274989,
2025-05-14,4.559,16.4,5.8710012,3.3526373,
2025-05-15,0.7610000000000001,0.0,0.5600791,0.6232382,
2025-05-16,5.173000000000001,2.8,5.553247,6.860257,
2025-05-17,10.541999999999998,1.8,9.096915,9.067169,
2025-05-18,3.504000000000001,1.9,2.5122528,2.2020333,
2025-05-19,3.1309999999999985,0.6,3.0424075,2.3631094,
2025-05-20,0.0,0.0,0.040992737,0.15880455,
2025-05-21,0.0,0.2,8.34465e-07,0.1492999,
2025-05-22,4.296000000000001,3.8,11.993494,3.632041,
2025-05-23,3.600000000000001,5.1,4.3421173,4.8744226,
2025-05-24,12.833000000000002,18.1,12.818189,13.410675,
2025-05-25,0.031,0.0,0.0,0.18033215,
2025-05-26,0.5820000000000001,0.0,0.95233727,3.021718,
2025-05-27,0.018,0.0,0.0116968155,0.3262072,
2025-05-28,2.939,3.8,3.9370928,2.5662763,
2025-05-29,11.029000000000002,7.9,11.957542,11.216902,
2025-05-30,3.307999999999999,1.9,4.7413597,3.998609,
2025-05-31,1.101,1.6,1.5091412,0.9683935,
2025-06-01,0.123,0.0,0.07261467,0.15611485,
