stebejimo_laikas,oro_temp,juntamoji_temp,vejo_greitis,vejo_gusis,vejo_kryptis,debesuotumas,slegis_juros_lyg,santyk_oro_dregme,kritutliu_kiekis,oro_salygos
2021-11-05,8.283333333333333,8.283333333333333,5.2875000000000005,13.5,187.0,83.41666666666667,1009.8208333333333,80.04166666666667,0.7,debesuota
2021-11-06,7.333333333333333,7.333333333333333,4.645833333333333,11.7,230.0,99.5,1015.3166666666666,91.04166666666667,1.9000000000000001,nedidelis lietus
2021-11-07,6.416666666666667,6.416666666666667,4.916666666666667,11.1,190.0,99.0,1008.5458333333332,90.58333333333333,3.7,nedidelis lietus
2021-11-08,4.345833333333333,2.533333333333333,3.8708333333333336,10.0,243.0,84.5,1011.3041666666667,85.875,6.1,nedidelis lietus
2021-11-09,-0.3666666666666667,-2.5124999999999997,2.0,6.5,168.0,63.166666666666664,1031.1875,83.95833333333333,0.0,debesuota
2021-11-10,1.1083333333333334,-3.170833333333333,4.441666666666666,9.0,192.0,69.375,1029.4208333333333,92.25,0.30000000000000004,migla
2021-11-11,2.6791666666666667,0.27499999999999997,2.6875,6.6,192.0,96.52380952380952,1020.6333333333333,97.0,0.5,migla
2021-11-12,5.387499999999999,5.329166666666667,3.216666666666667,9.4,276.0,65.0,1019.4458333333333,87.54166666666667,0.1,debesuota
2021-11-13,2.2041666666666666,0.3541666666666667,2.095833333333333,6.6,104.0,100.0,1024.9125000000001,98.33333333333333,0.0,rūkas
2021-11-14,2.9416666666666664,1.2541666666666667,1.9166666666666667,5.6,55.0,100.0,1028.3958333333333,93.5,0.0,migla
2021-11-15,0.5583333333333333,-2.1041666666666665,2.3833333333333333,7.1,50.0,100.0,1036.55,91.20833333333333,0.0,debesuota
2021-11-16,1.3708333333333333,-1.7125000000000001,2.841666666666667,5.4,158.0,100.0,1030.6916666666666,95.54166666666667,0.0,migla
2021-11-17,2.720833333333333,-0.9458333333333333,4.0375000000000005,8.8,167.0,100.0,1020.7166666666667,93.95833333333333,0.0,migla
2021-11-18,4.341666666666667,2.4791666666666665,3.5833333333333335,8.0,194.0,97.5,1013.7375000000001,92.20833333333333,2.2,nedidelis lietus
2021-11-19,7.608333333333333,7.208333333333333,4.4875,13.6,259.0,99.5,1003.8791666666666,94.04166666666667,7.3,nedidelis lietus
