,time,dust,sia,pm2p5,pans,nmvoc,nh3,pm10
965,2020-08-23,0.24462177,1.5901343,5.733645,1.5259272,7.089611,0.29562595,6.640938
966,2020-08-24,0.11373091,1.7412087,5.9995294,1.4424428,5.538025,0.75369143,8.556083
967,2020-08-25,0.047366213,1.7205793,5.495472,1.865953,6.059855,0.6339506,6.839767
968,2020-08-26,0.048450336,1.4581409,4.4582734,1.4742748,4.778422,0.31612578,4.798885
969,2020-08-27,0.053470153,1.4071103,4.7146926,1.6293575,5.3438563,0.1598573,4.492767
970,2020-08-28,0.025299957,0.7999697,3.039819,1.1103581,3.2205534,0.3214557,3.353177
971,2020-08-29,0.113574065,2.7630527,6.4045434,1.7274032,6.1203175,0.55217516,6.9019847
972,2020-08-30,0.10505422,1.9656043,6.184601,1.7490935,4.656862,0.26913768,4.9288263
973,2020-08-31,0.15704598,0.79827046,2.7053642,1.2244607,5.715889,0.10194235,3.571387
974,2020-09-01,0.025876096,0.9653385,3.4950924,1.1241531,3.0372474,0.2470413,2.6132474
975,2020-09-02,0.31834304,2.164185,5.9859104,1.3259832,7.359869,0.47106454,7.7039475
976,2020-09-03,0.04358769,2.7631872,6.4322815,1.894456,6.284594,0.6262304,7.144563
977,2020-09-04,0.04561388,2.0966957,5.86396,1.9403039,5.770004,0.6196724,6.0548835
978,2020-09-05,0.09268614,2.260403,6.8269076,1.591209,5.804806,0.4307129,7.1576977
979,2020-09-06,0.02697335,1.122223,4.1831994,1.3639516,5.2644663,0.34073234,5.14224
980,2020-09-07,0.010721341,2.1669054,5.9597955,1.1530333,4.394484,0.6600855,7.3244863
981,2020-09-08,0.04096476,2.1695282,4.588637,0.91366154,4.0752473,0.42422092,7.408558
982,2020-09-09,0.25632045,1.6357535,5.0479,0.85393745,3.8451138,0.5303834,8.212513
983,2020-09-10,0.15739824,1.073414,4.020275,0.7518728,3.0382922,0.2878313,6.976679
984,2020-09-11,0.015881905,1.0493422,3.890548,0.77914286,2.191857,0.38208115,6.959486
985,2020-09-12,0.14300866,4.1673408,9.1498575,1.6514596,5.2557397,0.91640526,14.320251
986,2020-09-13,0.22333682,3.32886,8.007266,1.2810562,4.359305,0.46932283,12.836684
987,2020-09-14,0.5716866,2.3878112,7.071734,0.667635,3.4315135,0.40773532,11.207897
988,2020-09-15,0.6824017,2.854695,8.881967,0.8209577,3.7439792,0.6431192,10.107924
989,2020-09-16,0.9115117,4.7779913,13.982101,1.7243642,8.481194,1.5359759,17.178322
990,2020-09-17,0.09013479,1.4171232,4.3083587,0.9263844,3.0521247,0.19326861,6.2503376
991,2020-09-18,0.018174734,0.45263347,2.0457854,0.6552491,1.5025691,0.3374504,3.5367596
